"precio","stock","id","subcategoria_id","descripcion","imagen","marca","nombre"
"329.99","9","27","1","Guitarra versátil perfecta para iniciarse en la eléctrica.","/images/products/yamaha_pacifica_112v.jpg","Yamaha","Yamaha Pacifica 112V"
"1049.99","3","28","1","Guitarra moderna de alto rendimiento con gran comodidad.","/images/products/charvel_dk24.jpg","Charvel","Charvel Pro-Mod DK24"
"879.99","4","29","3","Bajo versátil con sonido brillante y gran definición.","/images/products/fender_player_jazz_bass.jpg","Fender","Fender Player Jazz Bass"
"1099.99","3","30","3","Diseño moderno y ligero con tono potente y equilibrado.","/images/products/fender_aerodyne_jazz_bass.jpg","Fender","Fender Aerodyne Jazz Bass"
"449.99","6","31","3","Inspirado en los años 70 con sonido vintage y gran comodidad.","/images/products/squier_classic_vibe_70s_jazz_bass.jpg","Squier","Squier Classic Vibe 70s Jazz Bass"
"429.99","5","32","3","Sonido clásico tipo Precision con excelente relación calidad-precio.","/images/products/squier_classic_vibe_60s_precision_bass.jpg","Squier","Squier Classic Vibe 60s Precision Bass"
"699.99","4","33","3","Bajo ligero y cómodo con electrónica activa versátil.","/images/products/ibanez_sr500e.jpg","Ibanez","Ibanez SR500E"
"999.99","3","34","3","Bajo de 5 cuerdas con gran sustain y sonido profundo.","/images/products/ibanez_btb745.jpg","Ibanez","Ibanez BTB745"
"399.99","7","35","3","Modelo cómodo y versátil ideal para directo y estudio.","/images/products/yamaha_trbx304.jpg","Yamaha","Yamaha TRBX304"
"579.99","5","36","3","Bajo activo con excelente construcción y tono equilibrado.","/images/products/yamaha_trbx504.jpg","Yamaha","Yamaha TRBX504"
"349.99","6","37","3","Bajo activo con gran pegada y cómodo para principiantes.","/images/products/cort_action_dlx.jpg","Cort","Cort Action DLX"
"849.99","2","38","3","Bajo con sonido profundo y construcción alemana de calidad.","/images/products/warwick_rockbass_corvette.jpg","Warwick","Warwick RockBass Corvette"
"649.99","4","39","3","Bajo moderno con excelente definición y estética elegante.","/images/products/schecter_stiletto_studio4.jpg","Schecter","Schecter Stiletto Studio-4"
"499.99","5","40","3","Bajo activo con gran ataque y acabado flameado atractivo.","/images/products/esp_ltd_b204sm.jpg","ESP LTD","ESP LTD B-204SM"
"429.99","6","41","3","Versión asequible del StingRay con sonido potente y definido.","/images/products/sterling_ray4.jpg","Sterling","Sterling by Music Man Ray4"
"379.99","3","42","3","Bajo estilo violín con sonido cálido y clásico.","/images/products/hofner_ignition_violin_bass.jpg","Hofner","Hofner Ignition Violin Bass"
"699.99","3","43","3","Bajo tipo Jazz con gran claridad y construcción sólida.","/images/products/gl_tribute_jb2.jpg","G&L","G&L Tribute JB-2"
"599.99","4","44","3","Bajo moderno con electrónica activa y sonido versátil.","/images/products/marcus_miller_v7.jpg","Marcus Miller","Marcus Miller V7"
"159.99","8","45","2","Guitarra acústica económica ideal para principiantes.","/images/products/yamaha_f310.jpg","Yamaha","Yamaha F310"
"249.99","6","46","2","Modelo dreadnought con sonido equilibrado y gran proyección.","/images/products/yamaha_fg800.jpg","Yamaha","Yamaha FG800"
"239.99","5","47","2","Cuerpo compacto con tono claro y cómodo de tocar.","/images/products/yamaha_fs800.jpg","Yamaha","Yamaha FS800"
"229.99","7","48","2","Acústica dreadnought con tapa maciza y sonido potente.","/images/products/fender_cd60s.jpg","Fender","Fender CD-60S"
"179.99","9","49","2","Modelo asequible con buena resonancia y fácil ejecución.","/images/products/fender_fa125.jpg","Fender","Fender FA-125"
"189.99","6","50","2","Clásica dreadnought con sonido cálido y equilibrado.","/images/products/epiphone_dr100.jpg","Epiphone","Epiphone DR-100"
"399.99","4","51","2","Modelo icónico con diseño elegante y tono profundo.","/images/products/epiphone_hummingbird_studio.jpg","Epiphone","Epiphone Hummingbird Studio"
"699.99","3","52","2","Acústica electroacústica con gran comodidad y sonido brillante.","/images/products/taylor_academy_10e.jpg","Taylor","Taylor Academy 10e"
"849.99","3","53","2","Electroacústica versátil con excelente proyección.","/images/products/taylor_114ce.jpg","Taylor","Taylor 114ce"
"899.99","2","54","2","Acústica profesional con tono profundo y gran sustain.","/images/products/martin_d10e.jpg","Martin","Martin D-10E"
"799.99","2","55","2","Electroacústica con sonido claro y construcción robusta.","/images/products/martin_dx1ae.jpg","Martin","Martin DX1AE"
"329.99","5","56","2","Guitarra acústica con excelente relación calidad-precio.","/images/products/takamine_gd20.jpg","Takamine","Takamine GD20"
"549.99","3","57","2","Electroacústica con gran definición y estética elegante.","/images/products/takamine_gn93ce.jpg","Takamine","Takamine GN93CE"
"279.99","6","58","2","Modelo con tapa maciza y sonido cálido.","/images/products/ibanez_aw54.jpg","Ibanez","Ibanez AW54"
"399.99","4","59","2","Acústica dreadnought con excelente proyección y claridad.","/images/products/alvarez_ad60.jpg","Alvarez","Alvarez AD60"
"79.99","10","60","4","Ukelele soprano ideal para principiantes con sonido brillante.","/images/products/kala_ka15s.jpg","Kala","Kala KA-15S"
"99.99","8","61","4","Ukelele concierto con mayor proyección y comodidad.","/images/products/kala_kac.jpg","Kala","Kala KA-C"
"129.99","6","62","4","Modelo tenor con sonido más profundo y mayor volumen.","/images/products/kala_kat.jpg","Kala","Kala KA-T"
"69.99","9","63","4","Ukelele soprano clásico con tono cálido y equilibrado.","/images/products/lanikai_lu21.jpg","Lanikai","Lanikai LU-21"
"119.99","7","64","4","Ukelele concierto con cuerpo de caoba y gran resonancia.","/images/products/lanikai_ckc.jpg","Lanikai","Lanikai CK-C"
"49.99","12","65","4","Modelo soprano económico ideal para iniciarse.","/images/products/mahalo_mr1.jpg","Mahalo","Mahalo MR1"
"89.99","8","66","4","Ukelele tenor con buen volumen y sonido equilibrado.","/images/products/mahalo_mj1t.jpg","Mahalo","Mahalo MJ1T"
"89.99","6","67","4","Diseño moderno y sonido brillante ideal para estilos actuales.","/images/products/fender_venice_soprano.jpg","Fender","Fender Venice Soprano"
"109.99","5","68","4","Ukelele concierto con estética elegante y tono definido.","/images/products/fender_zuma_concert.jpg","Fender","Fender Zuma Concert"
"199.99","4","69","4","Ukelele electroacústico con acabado exótico y gran proyección.","/images/products/ibanez_uew12e.jpg","Ibanez","Ibanez UEW12E"
"89.99","7","70","4","Modelo concierto con sonido cálido y excelente construcción.","/images/products/cordoba_15cm.jpg","Cordoba","Cordoba 15CM"
"219.99","4","71","4","Ukelele tenor electroacústico con gran definición sonora.","/images/products/cordoba_20tmce.jpg","Cordoba","Cordoba 20TM-CE"
"59.99","10","72","4","Ukelele soprano ligero y resistente ideal para principiantes.","/images/products/flight_nus310.jpg","Flight","Flight NUS310"
"179.99","5","73","4","Modelo concierto electroacústico con acabado llamativo.","/images/products/flight_duc380_ceq.jpg","Flight","Flight DUC380 CEQ"
"99.99","6","74","4","Ukelele soprano con sonido equilibrado y gran comodidad.","/images/products/ortega_ru5.jpg","Ortega","Ortega RU5"
"189.99","6","75","5","Violín de estudio ideal para principiantes con buena afinación.","/images/products/stentor_student_1.jpg","Stentor","Stentor Student I 4/4"
"249.99","5","76","5","Modelo mejorado para estudiantes con sonido más definido.","/images/products/stentor_student_2.jpg","Stentor","Stentor Student II 4/4"
"329.99","4","77","5","Violín completo para estudiante con excelente calidad de construcción.","/images/products/yamaha_v3ska.jpg","Yamaha","Yamaha V3SKA 4/4"
"459.99","3","78","5","Modelo intermedio con sonido cálido y gran proyección.","/images/products/yamaha_v5sa.jpg","Yamaha","Yamaha V5SA 4/4"
"219.99","5","79","5","Violín de estudio con buena resonancia y acabado clásico.","/images/products/cremona_sv75.jpg","Cremona","Cremona SV-75 4/4"
"349.99","4","80","5","Modelo intermedio con mejor proyección y materiales seleccionados.","/images/products/cremona_sv175.jpg","Cremona","Cremona SV-175 4/4"
"299.99","3","81","5","Violín artesanal de estudio con sonido equilibrado.","/images/products/eastman_vl80.jpg","Eastman","Eastman VL80 4/4"
"499.99","3","82","5","Modelo intermedio con mayor riqueza tonal.","/images/products/eastman_vl100.jpg","Eastman","Eastman VL100 4/4"
"279.99","4","83","5","Violín clásico con sonido cálido y buena respuesta.","/images/products/hofner_as060.jpg","Hofner","Höfner AS-060 4/4"
"239.99","5","84","5","Violín de estudio con excelente relación calidad-precio.","/images/products/gewa_allegro.jpg","GEWA","GEWA Allegro 4/4"
"599.99","2","85","5","Modelo avanzado con mayor proyección y riqueza sonora.","/images/products/gewa_maestro.jpg","GEWA","GEWA Maestro 4/4"
"699.99","2","86","5","Violín eléctrico moderno ideal para escenario.","/images/products/ns_design_wav4.jpg","NS Design","NS Design WAV4"
"749.99","2","87","5","Violín eléctrico con diseño elegante y sonido natural.","/images/products/yamaha_yev104.jpg","Yamaha","Yamaha YEV-104"
"289.99","4","88","5","Violín eléctrico asequible ideal para iniciarse en amplificación.","/images/products/stagg_evn.jpg","Stagg","Stagg EVN 4/4"
"149.99","6","89","5","Violín de estudio económico perfecto para principiantes.","/images/products/harley_benton_hbv870.jpg","Harley Benton","Harley Benton HBV 870 4/4"
"649.99","5","90","6","Piano digital compacto con sonido realista y teclas contrapesadas.","/images/products/yamaha_p125.jpg","Yamaha","Yamaha P-125"
"749.99","4","91","6","Modelo portátil con acción mejorada y sonido profesional.","/images/products/yamaha_p225.jpg","Yamaha","Yamaha P-225"
"1499.99","3","92","6","Piano digital de mueble con sensación y sonido de concierto.","/images/products/yamaha_clp735.jpg","Yamaha","Yamaha Clavinova CLP-735"
"1099.99","3","93","6","Piano portátil con sonido SuperNATURAL y altavoces potentes.","/images/products/roland_fp60x.jpg","Roland","Roland FP-60X"
"999.99","4","94","6","Piano digital versátil con funciones de acompañamiento.","/images/products/roland_fpe50.jpg","Roland","Roland FP-E50"
"699.99","6","95","6","Diseño ultracompacto con teclado Smart Scaled Hammer Action.","/images/products/casio_pxs1100.jpg","Casio","Casio PX-S1100"
"899.99","5","96","6","Piano digital con múltiples sonidos y funciones avanzadas.","/images/products/casio_pxs3100.jpg","Casio","Casio PX-S3100"
"799.99","4","97","6","Modelo portátil con acción Responsive Hammer Compact.","/images/products/kawai_es120.jpg","Kawai","Kawai ES120"
"1199.99","3","98","6","Piano digital de mueble con excelente realismo sonoro.","/images/products/kawai_cn29.jpg","Kawai","Kawai CN29"
"499.99","7","99","6","Piano digital sencillo con sonido claro y potente.","/images/products/korg_b2.jpg","Korg","Korg B2"
"699.99","4","100","6","Teclado digital profesional con acción RH3 contrapesada.","/images/products/korg_d1.jpg","Korg","Korg D1"
"379.99","6","101","6","Piano digital asequible con 88 teclas contrapesadas.","/images/products/alesis_recital_pro.jpg","Alesis","Alesis Recital Pro"
"449.99","5","102","6","Modelo portátil con altavoces integrados y sonido realista.","/images/products/alesis_prestige.jpg","Alesis","Alesis Prestige"
"1399.99","2","103","6","Piano digital profesional con tecnología de modelado avanzado.","/images/products/dexibell_vivo_h1.jpg","Dexibell","Dexibell Vivo H1"
"2499.99","2","104","6","Piano digital profesional para estudio y directo con sonido premium.","/images/products/nord_piano_5.jpg","Nord","Nord Piano 5"
"549.99","4","105","7","Sintetizador analógico polifónico con gran versatilidad sonora.","/images/products/korg_minilogue.jpg","Korg","Korg Minilogue"
"649.99","3","106","7","Versión mejorada con motor digital adicional y efectos integrados.","/images/products/korg_minilogue_xd.jpg","Korg","Korg Minilogue XD"
"599.99","3","107","7","Reedición del clásico sintetizador analógico semi-modular.","/images/products/korg_ms20_mini.jpg","Korg","Korg MS-20 Mini"
"799.99","4","108","7","Workstation ligero con gran variedad de sonidos y funciones.","/images/products/roland_juno_ds61.jpg","Roland","Roland JUNO-DS61"
"1099.99","2","109","7","Workstation profesional con potente motor de sonido.","/images/products/roland_fa06.jpg","Roland","Roland FA-06"
"1199.99","3","110","7","Sintetizador avanzado con motor AWM2 y FM-X.","/images/products/yamaha_modx6_plus.jpg","Yamaha","Yamaha MODX6+"
"2899.99","2","111","7","Sintetizador profesional de alto rendimiento para estudio y directo.","/images/products/yamaha_montage_m6.jpg","Yamaha","Yamaha Montage M6"
"1699.99","2","112","7","Sintetizador virtual analógico con interfaz intuitiva.","/images/products/nord_lead_a1.jpg","Nord","Nord Lead A1"
"499.99","4","113","7","Sintetizador analógico con arquitectura semi-modular.","/images/products/arturia_minibrute2.jpg","Arturia","Arturia MiniBrute 2"
"349.99","6","114","7","Sintetizador híbrido con múltiples motores digitales.","/images/products/arturia_microfreak.jpg","Arturia","Arturia MicroFreak"
"699.99","3","115","7","Sintetizador analógico polifónico con efectos integrados.","/images/products/behringer_deepmind12.jpg","Behringer","Behringer DeepMind 12"
"299.99","5","116","7","Módulo analógico inspirado en sintetizadores clásicos.","/images/products/behringer_model_d.jpg","Behringer","Behringer Model D"
"999.99","2","117","7","Sintetizador analógico semi-modular con sonido clásico Moog.","/images/products/moog_grandmother.jpg","Moog","Moog Grandmother"
"1199.99","2","118","7","Sintetizador analógico compacto con sonido potente.","/images/products/moog_subsequent25.jpg","Moog","Moog Subsequent 25"
"1999.99","1","119","7","Sintetizador analógico polifónico de nivel profesional.","/images/products/sequential_prophet_rev2.jpg","Sequential","Sequential Prophet Rev2"
"2499.99","2","120","8","Órgano digital profesional con auténtico sonido tonewheel.","/images/products/hammond_xk5.jpg","Hammond","Hammond XK-5"
"2199.99","2","121","8","Órgano de doble teclado ideal para directo.","/images/products/hammond_skx_pro.jpg","Hammond","Hammond SKX Pro"
"1899.99","3","122","8","Teclado stage con excelentes sonidos de órgano y piano.","/images/products/nord_electro_6d.jpg","Nord","Nord Electro 6D 61"
"2499.99","1","123","8","Órgano profesional con doble manual y sonido clásico.","/images/products/nord_c2d.jpg","Nord","Nord C2D"
"1599.99","2","124","8","Órgano digital compacto con modelado tonewheel realista.","/images/products/viscount_legend_solo.jpg","Viscount","Viscount Legend Solo"
"1999.99","2","125","8","Órgano stage con controles físicos y gran versatilidad.","/images/products/viscount_legend_live.jpg","Viscount","Viscount Legend Live"
"1499.99","3","126","8","Combo organ con sonidos vintage y diseño ligero.","/images/products/roland_vr730.jpg","Roland","Roland VR-730"
"1299.99","2","127","8","Órgano digital con modelado clásico y drawbars físicos.","/images/products/roland_vk8.jpg","Roland","Roland VK-8"
"1699.99","3","128","8","Stage keyboard con excelente motor de órgano y efectos.","/images/products/yamaha_yc61.jpg","Yamaha","Yamaha YC61"
"1999.99","2","129","8","Modelo profesional con teclado balanceado y sonidos vintage.","/images/products/yamaha_yc73.jpg","Yamaha","Yamaha YC73"
"1399.99","2","130","8","Órgano digital inspirado en clásicos tonewheel.","/images/products/korg_cx3.jpg","Korg","Korg CX-3"
"1799.99","2","131","8","Órgano stage con motor T2L y gran calidad sonora.","/images/products/dexibell_combo_j7.jpg","Dexibell","Dexibell Combo J7"
"3499.99","1","132","8","Órgano digital litúrgico con múltiples registros.","/images/products/johannus_p350.jpg","Johannus","Johannus Studio P350"
"4999.99","1","133","8","Órgano digital de iglesia con sonido envolvente.","/images/products/allen_gx235.jpg","Allen","Allen Organ GX-235"
"1199.99","3","134","8","Órgano portátil con auténtico carácter vintage.","/images/products/hammond_m_solo.jpg","Hammond","Hammond M-Solo"
"599.99","4","135","9","Kit completo ideal para principiantes con gran calidad de construcción.","/images/products/pearl_roadshow_rs525sc.jpg","Pearl","Pearl Roadshow RS525SC"
"899.99","3","136","9","Batería versátil con excelente proyección y acabados modernos.","/images/products/pearl_export_exx725s.jpg","Pearl","Pearl Export EXX725S"
"799.99","4","137","9","Kit robusto con sonido potente ideal para directo.","/images/products/tama_imperialstar.jpg","Tama","Tama Imperialstar 5pcs"
"1099.99","2","138","9","Batería de arce con gran ataque y sustain.","/images/products/tama_superstar_classic.jpg","Tama","Tama Superstar Classic"
"649.99","5","139","9","Kit completo con sonido equilibrado y gran estabilidad.","/images/products/yamaha_rydeen.jpg","Yamaha","Yamaha Rydeen RDP2F5"
"999.99","3","140","9","Batería de abedul con sonido definido y profesional.","/images/products/yamaha_stage_custom_birch.jpg","Yamaha","Yamaha Stage Custom Birch"
"499.99","4","141","9","Kit económico ideal para iniciarse en la batería.","/images/products/mapex_tornado.jpg","Mapex","Mapex Tornado 5pcs"
"1199.99","2","142","9","Batería híbrida con gran pegada y versatilidad.","/images/products/mapex_armory.jpg","Mapex","Mapex Armory 6pcs"
"899.99","3","143","9","Kit compacto con sonido cálido y vintage.","/images/products/gretsch_catalina_club.jpg","Gretsch","Gretsch Catalina Club"
"1499.99","2","144","9","Batería profesional de arce con gran resonancia.","/images/products/gretsch_renown_maple.jpg","Gretsch","Gretsch Renown Maple"
"699.99","3","145","9","Kit completo con sonido clásico y construcción sólida.","/images/products/ludwig_accent_drive.jpg","Ludwig","Ludwig Accent Drive"
"799.99","2","146","9","Batería compacta ideal para espacios reducidos y directo.","/images/products/ludwig_breakbeats.jpg","Ludwig","Ludwig Breakbeats by Questlove"
"1299.99","2","147","9","Kit de arce con sonido potente y gran definición.","/images/products/sonor_aq2_stage.jpg","Sonor","Sonor AQ2 Stage"
"1799.99","1","148","9","Batería profesional con gran proyección y acabados premium.","/images/products/dw_design_series.jpg","DW","DW Design Series"
"999.99","3","149","9","Kit de arce con sonido equilibrado y moderno.","/images/products/pdp_concept_maple.jpg","PDP","PDP Concept Maple"
"399.99","5","150","10","Batería electrónica compacta ideal para principiantes.","/images/products/roland_td02k.jpg","Roland","Roland TD-02K"
"799.99","4","151","10","Kit con parches de malla y excelente respuesta dinámica.","/images/products/roland_td07dmk.jpg","Roland","Roland TD-07DMK"
"1499.99","3","152","10","Batería electrónica avanzada con sonidos realistas y gran sensibilidad.","/images/products/roland_td17kv2.jpg","Roland","Roland TD-17KV2"
"2899.99","2","153","10","Kit profesional con tecnología de modelado avanzada.","/images/products/roland_td27kv2.jpg","Roland","Roland TD-27KV2"
"449.99","6","154","10","Batería electrónica compacta con múltiples kits integrados.","/images/products/yamaha_dtx402k.jpg","Yamaha","Yamaha DTX402K"
"1299.99","3","155","10","Kit con parches TCS y sonidos de alta calidad.","/images/products/yamaha_dtx6kx.jpg","Yamaha","Yamaha DTX6K-X"
"399.99","7","156","10","Batería electrónica con parches de malla y gran relación calidad-precio.","/images/products/alesis_nitro_mesh.jpg","Alesis","Alesis Nitro Mesh Kit"
"599.99","5","157","10","Kit completo con pads de malla y módulo versátil.","/images/products/alesis_surge_mesh.jpg","Alesis","Alesis Surge Mesh Kit"
"2199.99","2","158","10","Batería electrónica profesional con sonidos detallados.","/images/products/alesis_strike_pro_se.jpg","Alesis","Alesis Strike Pro SE"
"699.99","6","159","10","Kit electrónico con pads de malla y múltiples configuraciones.","/images/products/millenium_mps850.jpg","Millenium","Millenium MPS-850"
"1199.99","3","160","10","Batería electrónica avanzada con sensación realista.","/images/products/millenium_mps1000.jpg","Millenium","Millenium MPS-1000"
"1999.99","2","161","10","Kit electrónico moderno con excelente respuesta y diseño minimalista.","/images/products/efnote_3x.jpg","EFNOTE","EFNOTE 3X"
"2699.99","2","162","10","Batería electrónica profesional con gran realismo sonoro.","/images/products/efnote_5.jpg","EFNOTE","EFNOTE 5"
"379.99","6","163","10","Kit compacto ideal para práctica en casa.","/images/products/donner_ded200.jpg","Donner","Donner DED-200"
"2499.99","1","164","10","Batería electrónica con apariencia acústica y tecnología avanzada.","/images/products/roland_vad307.jpg","Roland","Roland VAD307"
